    134 Acanthocephala
   2870 Annelida
    356 Apicomplexa
 124082 Arthropoda
    587 Ascomycota
    185 Bacillariophyta
    282 Basidiomycota
      3 Blastocladiomycota
     36 Brachiopoda
    215 Bryozoa
      3 Cercozoa
     36 Chaetognatha
    145 Chlorophyta
  29157 Chordata
      7 Chytridiomycota
    218 Ciliophora
   1774 Cnidaria
      1 Cryptomycota
     19 Ctenophora
      2 Cycliophora
     12 Dicyemida
     64 Discosea
   1541 Echinodermata
      2 Endomyxa
     17 Entoprocta
     60 Euglenozoa
     11 Evosea
     62 Gastrotricha
      9 Gnathostomulida
     18 Haptista
      9 Hemichordata
     23 Heterolobosea
      8 Imbricatea
     32 Kinorhyncha
  11980 Mollusca
     71 Mucoromycota
   1413 Nematoda
     22 Nematomorpha
    250 Nemertea
     85 Onychophora
      2 Perkinsozoa
     12 Phoronida
      2 Placozoa
   1535 Platyhelminthes
    813 Porifera
      4 Priapulida
   1741 Rhodophyta
    228 Rotifera
   1595 Streptophyta
    136 Tardigrada
      1 Tubulinea
     81 Xenacoelomorpha
      3 Zoopagomycota
     11 phylumBigyra
      1 phylumBolidophyceae
      1 phylumChoanoflagellata
     21 phylumChrysophyceae
     11 phylumCryptophyceae
      5 phylumDictyochophyceae
    107 phylumDinophyceae
      9 phylumEustigmatophyceae
      2 phylumFilasterea
      6 phylumGlaucocystophyceae
      2 phylumIchthyosporea
      1 phylumMicrognathozoa
    667 phylumOomycota
      1 phylumPelagophyceae
    471 phylumPhaeophyceae
      2 phylumPinguiophyceae
      7 phylumRaphidophyceae
     25 phylumSynurophyceae
      8 phylumXanthophyceae
      2 phylumclassColponemida
      8 phylumclassJakobida
      1 phylumclassRotosphaerida
      1 phylumclassTsukubamonadida
      1 phylumclassorderApusomonadidae
      1 phylumclassorderChromeraceae
      1 phylumclassorderCollodictyonidae
      2 phylumclassorderMalawimonadidae
      1 phylumclassorderfamilyChrysoparadoxa
